Nama Hotel,Gambar Url,,
"Sutanraja Hotel, Convention & Recreation",https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/HotelSutanraja.jpg,,
Best Western The Lagoon Hotel,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/HotelBestWesternTheLagoon.jpg,,
Casabaio Paradise Resort,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/CasabaioParadiseResort.jpg,,
Coral Eye,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/CoralEyeLikupang.jpg,,
Onong Resort,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/OnongResort.jpg,,
Swiss Belhotel Maleosan Manado,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/SwissBelhotelMaleosanManado.jpg,,
Mercure Manado Tateli Beach Resort,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/MercureManadoTateliBeachResort.jpg,,
"Highland Resort and Nature Tours Tomohon

",https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/HighlandResortandNatureTours.jpg,,
"Hotel Villa Emitta Tomohon

",https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/Hotel%20Villa%20Emitta%20Tomohon.webp,,
Sintesa Peninsula Hotel Manado,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/SintesaPeninsulaHotelManado.jpg,,
Bunaken Oasis Dive Resort and Spa,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/BunakenOasisDiveResortandSpa.jpg,,
 Senator Resort Hotel,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/SenatorResortHotel.jpg,,
"White Sands Beach Resort Lembeh Bitung

",https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/WhiteSandsBeachResortLembeh.jpg,,
 Four Points By Sheraton Manado,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/FourPointbySheratonManado.jpg,,
Sutanraja Hotel Amurang,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/SutanrajaHotelAmurang.jpg,,
"Grand Master Resort Tomohon

",https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/GrandMasterResortTomohon.jpg,,
Gangga Island Resort and Spa,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/GanggaIslandResortandSpa.jpg,,
"Novotel Manado Golf  Resort and Convention Center 

",https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/NovotelManadoGolfResortandConventionCenter.jpg,,
Kuda Laut Boutique Dive Resort,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/KudaLautBoutiqueDiveResort.jpg,,
Jhoanie Hotel Tomohon,https://aplikasiwisata3siscer.000webhostapp.com/GambarHotel/JhoanieHotelTomohon.jpg,,
