Nama Tempat Wisata,Gambar,
Welu cafe and restaurant,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/WeluCafe.JPG,
Puncak Tetetana Kumelembuai,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/PuncakTetetana.JPG,
Keletambal Bojoh Hills,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/KeletambalBojohHills.JPG,
Larata Hills,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/LarataHills.JPG,
Rumah Alam Manado Adventue Park,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/RumahAlam.JPG,
Gunung Payung,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/GunungPayung.JPG,
Pantai Tangonggor,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/PantaiTangonggor.JPG,
Bukit Doa Mahawu Tomohon,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/BukitDoaMahawu.JPG,
Arung Jeram Desa Timbukar,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/ArungJeramDesaTimbukar.JPG,
Batu Dinding Kilo 3 Amurang,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/BatuDindingKilo3Amurang.JPG,
Dodoku Aer Konde Ratahan,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/DodokuAerKonde.JPG,
Danau Mooat,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/DanauMooat.JPG,
Gunung Ambang,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/GunungAmbang.JPG,
Puncak Lose,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/PuncakLose.JPG,
Pulau Mahoro,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/PulauMahoro.JPG,
Pulau Ponteng,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/PulauPonteng.JPG,
Taman Nasional Tangkoko,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/TamanNasionalTangkoko.JPG,
Air Terjun Tinoor,,
Air Terjun Tumimperas,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/AirTerjunTumimperas.JPG,
Air Terjun Pontak,https://aplikasiwisata3siscer.000webhostapp.com/GambarTempatWisata/AirTerjunPontak.JPG,
