Nama Toko,Gambar,,,
Manado Souvenir,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/ManadoSouvenir.jpg,,,
D’Souvenir,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/D'Souvenir.jpg,,,
"Maengket Souvenir dan Oleh Oleh Manado

",https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/MaengketSouvenir.jpg,,,
Christine Klappertaart Kairagi,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/ChristineKlappertaart.jpg,,,
Grand Merciful Building,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/MercifulBuilding.jpg,,,
Kawanua Souvenir,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/KawanuaSouvenir.jpg,,,
Miens Souvenir,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/MiensSouvenir.jpg,,,
UD Totabuan,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/UDTotabunan.jpg,,,
Bohusami Souvenir Shop,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/BohusamiSouvenirShop.jpg,,,
Poopim Souvenir,https://aplikasiwisata3siscer.000webhostapp.com/GambarTokoSouvenir/PoopimSouvenir.jpg,,,
